FirstName,LastName,Biography
Jane,Austen,English novelist known for her six major novels interpreting the British landed gentry
Charles,Dickens,Victorian novelist who created some of the world's best-known fictional characters
Mark,Twain,American humorist and author of The Adventures of Tom Sawyer
Virginia,Woolf,Modernist writer and pioneer of stream of consciousness narrative
Ernest,Hemingway,American novelist and short-story writer known for his economical prose
Agatha,Christie,Queen of Crime who wrote 66 detective novels and 14 short story collections
George,Orwell,English novelist and essayist who wrote 1984 and Animal Farm
J.K.,Rowling,British author of the Harry Potter fantasy series
Stephen,King,Master of horror and supernatural fiction
Margaret,Atwood,Canadian poet and novelist known for The Handmaid's Tale
Gabriel,García Márquez,Colombian novelist and Nobel Prize winner
Toni,Morrison,Nobel Prize-winning American novelist
Haruki,Murakami,Contemporary Japanese writer known for surreal novels
Isabel,Allende,Chilean-American novelist known for magical realism
Paulo,Coelho,Brazilian lyricist and novelist who wrote The Alchemist
Chimamanda,Ngozi Adichie,Nigerian writer known for Half of a Yellow Sun
Salman,Rushdie,British Indian novelist and essayist
Zadie,Smith,British novelist known for White Teeth
Neil,Gaiman,English author of fantasy and graphic novels
Margaret,Mitchell,American author of Gone with the Wind
Leo,Tolstoy,Russian author of War and Peace and Anna Karenina
Fyodor,Dostoevsky,Russian novelist known for Crime and Punishment
Franz,Kafka,Czech writer known for The Metamorphosis
Albert,Camus,French philosopher and author of The Stranger
Hermann,Hesse,German-Swiss author of Siddhartha
James,Joyce,Irish novelist and modernist writer
Oscar,Wilde,Irish poet and playwright
Emily,Brontë,English novelist who wrote Wuthering Heights
Charlotte,Brontë,English novelist who wrote Jane Eyre
Mary,Shelley,English novelist who created Frankenstein
William,Shakespeare,English playwright and poet
Homer,Anonymous,Ancient Greek poet attributed with the Iliad and Odyssey
Dante,Alighieri,Italian poet who wrote The Divine Comedy
Miguel,de Cervantes,Spanish writer who created Don Quixote
Victor,Hugo,French novelist who wrote Les Misérables
Alexandre,Dumas,French author of The Three Musketeers
Jules,Verne,French novelist and pioneer of science fiction
H.G.,Wells,English writer known for science fiction classics
Isaac,Asimov,American science fiction author and biochemist
Arthur C.,Clarke,British science fiction writer known for 2001
Ray,Bradbury,American author of Fahrenheit 451
Philip K.,Dick,American science fiction writer
Ursula K.,Le Guin,American author of fantasy and science fiction
Kurt,Vonnegut,American satirical novelist
Joseph,Heller,American author of Catch-22
Ken,Kesey,American novelist who wrote One Flew Over the Cuckoo's Nest
Hunter S.,Thompson,American journalist and author
Jack,Kerouac,American novelist and pioneer of the Beat Generation
Allen,Ginsberg,American poet and leading figure of the Beat Generation
Sylvia,Plath,American poet and novelist
Maya,Angelou,American poet and civil rights activist
Langston,Hughes,American poet and leader of the Harlem Renaissance
Zora Neale,Hurston,American author and anthropologist
Ralph,Ellison,American novelist who wrote Invisible Man
James,Baldwin,American novelist and social critic
Flannery,O'Connor,American short story writer
Carson,McCullers,American novelist and Southern Gothic writer
Truman,Capote,American novelist and journalist
Harper,Lee,American novelist who wrote To Kill a Mockingbird
John,Steinbeck,American author of The Grapes of Wrath
F. Scott,Fitzgerald,American novelist who wrote The Great Gatsby
William,Faulkner,American writer and Nobel Prize winner
Tennessee,Williams,American playwright
Arthur,Miller,American playwright who wrote Death of a Salesman
Eugene,O'Neill,American playwright and Nobel Prize winner
Samuel,Beckett,Irish novelist and playwright
Harold,Pinter,British playwright and Nobel Prize winner
Tom,Stoppard,Czech-British playwright
J.R.R.,Tolkien,English author of The Lord of the Rings
C.S.,Lewis,British writer known for The Chronicles of Narnia
George R.R.,Martin,American novelist and creator of Game of Thrones
Patrick,Rothfuss,American fantasy writer
Brandon,Sanderson,American fantasy and science fiction author
Terry,Pratchett,English author of the Discworld series
Douglas,Adams,English author of The Hitchhiker's Guide to the Galaxy
Stanisław,Lem,Polish science fiction writer
Italo,Calvino,Italian novelist and short story writer
Umberto,Eco,Italian novelist and philosopher
Jorge Luis,Borges,Argentine short-story writer and poet
Octavia,Butler,American science fiction author
N.K.,Jemisin,American science fiction and fantasy writer
Joe,Abercrombie,British fantasy writer
Robin,Hobb,American fantasy novelist
Patrick,O'Brian,English novelist who wrote the Aubrey-Maturin series
Bernard,Cornwell,English author of historical novels
Hilary,Mantel,British writer known for Wolf Hall
Ken,Follett,British author of historical thrillers
Philippa,Gregory,English historical novelist
Dan,Brown,American author of The Da Vinci Code
John,Grisham,American novelist and attorney
Michael,Crichton,American author and filmmaker
Tom,Clancy,American novelist known for military thrillers
Lee,Child,British author of the Jack Reacher series
Gillian,Flynn,American author of Gone Girl
Paula,Hawkins,British author of The Girl on the Train
Stieg,Larsson,Swedish journalist and writer
Jo,Nesbø,Norwegian crime writer
Henning,Mankell,Swedish crime writer
Donna,Tartt,American novelist who wrote The Goldfinch
Jonathan,Franzen,American novelist and essayist
David,Foster Wallace,American novelist and essayist
Cormac,McCarthy,American novelist known for The Road
Don,DeLillo,American novelist and essayist
Thomas,Pynchon,American novelist known for postmodern works
